State,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,2010,Rabi,6.025,27.81,1027.8
Andhra Pradesh,2012,Kharif,8.407864045318227,28.06,785.0
Andhra Pradesh,2012,Rabi,5.107142857142857,28.06,470.0
Andhra Pradesh,2013,Kharif,8.523510268207833,27.78,545.0
Andhra Pradesh,2013,Rabi,7.488372093023256,27.78,499.29999999999995
Andhra Pradesh,2014,Kharif,8.664045011797446,28.02,519.7
Andhra Pradesh,2014,Rabi,4.4,28.02,236.29999999999998
Himachal Pradesh,2005,Kharif,0.6054421768707483,9.69,640.3
Himachal Pradesh,2006,Kharif,0.5294117647058824,10.44,732.1
Himachal Pradesh,2007,Kharif,0.5070422535211268,10.41,631.0
Himachal Pradesh,2008,Kharif,0.5288461538461539,10.07,749.4
Meghalaya,2006,Rabi,7.557008368200837,22.49,195.8
Uttar Pradesh,2004,Rabi,1.7377666248431618,26.21,140.5
Uttar Pradesh,2005,Rabi,4.457609805924412,25.81,120.2
Uttar Pradesh,2006,Rabi,3.4006153846153846,26.2,61.599999999999994
Uttar Pradesh,2007,Rabi,3.0694444444444446,26.08,196.10000000000002
Uttar Pradesh,2009,Rabi,3.3049429657794676,26.59,173.20000000000002
Uttar Pradesh,2010,Rabi,3.142194744976816,26.63,70.9
Uttar Pradesh,2011,Rabi,2.8167396061269145,25.85,25.0
Uttar Pradesh,2012,Rabi,2.830769230769231,25.85,45.3
Uttar Pradesh,2013,Rabi,2.894150417827298,25.62,332.7
Uttar Pradesh,2014,Rabi,2.8370750481077613,25.65,302.9
